Model,Task,Shot,Precision,Recall,F1
internlm2_5-20b-hf,transformed_medlfqa_kqa,5shot,0.7067699432373047,0.7338082790374756,0.7196992635726929
gpt-4o,transformed_imcs_mrg,0shot,0.5900241732597351,0.6771016120910645,0.6302404999732971
internlm2_5-20b-hf,transformed_medlfqa_healthqa,5shot,0.7361204028129578,0.7467460632324219,0.7412219047546387
yi-1.5-34b-chat-hf,transformed_medlfqa_healthqa,5shot,0.7207563519477844,0.7573174238204956,0.7383784651756287
mixtral-large-2-instruct-turbomind,transformed_medlfqa_healthqa,0shot,0.6907806992530823,0.7530311346054077,0.720327615737915
mixtral-large-2-instruct-turbomind,transformed_imcs_mrg,0shot,0.5791791081428528,0.6576000452041626,0.6155993342399597
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,0shot,0.6578466296195984,0.6927011609077454,0.6741411089897156
internlm2_5-20b-hf,transformed_medlfqa_medicationqa,5shot,0.6526156663894653,0.6942680478096008,0.6721513867378235
llama-3_1-70b-instruct-hf,transformed_imcs_mrg,0shot,0.6296544075012207,0.7215463519096375,0.672147274017334
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,5shot,0.6911390423774719,0.7395820021629333,0.714201807975769
qwen2.5-72b-instruct-hf,transformed_medlfqa_medicationqa,0shot,0.5975291728973389,0.7023679614067078,0.6450938582420349
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,5shot,0.6367856860160828,0.7004900574684143,0.6663097143173218
internlm2_5-20b-hf,transformed_imcs_mrg,5shot,0.0,0.0,0.0
yi-1.5-34b-chat-hf,transformed_medlfqa_medicationqa,0shot,0.6177469491958618,0.6893392205238342,0.6509755849838257
internlm2_5-20b-hf,transformed_medlfqa_liveqa,5shot,0.6449503898620605,0.6921733021736145,0.666451632976532
yi-1.5-34b-chat-hf,transformed_medlfqa_kqa,0shot,0.6730101108551025,0.7265037298202515,0.6984462738037109
gpt-4o,transformed_medlfqa_healthqa,5shot,0.676338791847229,0.7540315985679626,0.7127838134765625
yi-1.5-34b-chat-hf,transformed_medlfqa_liveqa,0shot,0.6177788376808167,0.688092052936554,0.6497393846511841
qwen2.5-72b-instruct-hf,transformed_medlfqa_liveqa,5shot,0.6028172373771667,0.693820059299469,0.643963098526001
yi-1.5-34b-chat-hf,transformed_imcs_mrg,0shot,0.6558012366294861,0.7333441376686096,0.6920241713523865
internlm2_5-20b-hf,transformed_imcs_mrg,0shot,0.6165332794189453,0.6411094665527344,0.6281653642654419
mixtral-large-2-instruct-turbomind,transformed_medlfqa_kqa,5shot,0.6623401045799255,0.7485888600349426,0.7025671601295471
gpt-4o,transformed_medlfqa_kqa,0shot,0.6530020833015442,0.7472897171974182,0.6966752409934998
internlm2_5-20b-hf,transformed_medlfqa_healthqa,0shot,0.7391501069068909,0.7318605184555054,0.7352853417396545
qwen2.5-72b-instruct-hf,transformed_medlfqa_medicationqa,5shot,0.5943070650100708,0.7015746831893921,0.6427510976791382
gpt-4o,transformed_medlfqa_kqa,5shot,0.6598372459411621,0.7500256896018982,0.7018445730209351
mixtral-large-2-instruct-turbomind,transformed_medlfqa_medicationqa,5shot,0.6017477512359619,0.7028777599334717,0.6475803852081299
llama-3_1-70b-instruct-hf,transformed_medlfqa_liveqa,0shot,0.6047656536102295,0.6911967992782593,0.6441431641578674
mixtral-large-2-instruct-turbomind,transformed_medlfqa_medicationqa,0shot,0.6140925288200378,0.7003075480461121,0.6536266803741455
gpt-4o,transformed_medlfqa_medicationqa,5shot,0.600437581539154,0.7033045291900635,0.6469200849533081
qwen2.5-72b-instruct-hf,transformed_imcs_mrg,0shot,0.5934240221977234,0.6715350151062012,0.6297789216041565
qwen2.5-72b-instruct-hf,transformed_medlfqa_healthqa,5shot,0.6795956492424011,0.7637972235679626,0.719089150428772
qwen2.5-72b-instruct-hf,transformed_medlfqa_healthqa,0shot,0.6783910393714905,0.7600661516189575,0.7166867852210999
mixtral-large-2-instruct-turbomind,transformed_medlfqa_liveqa,5shot,0.6078299283981323,0.6963354349136353,0.6479977965354919
mixtral-large-2-instruct-turbomind,transformed_medlfqa_healthqa,5shot,0.6855578422546387,0.7645501494407654,0.7226938605308533
gpt-4o,transformed_medlfqa_medicationqa,0shot,0.6026694774627686,0.7024168968200684,0.6480197906494141
llama-3_1-70b-instruct-hf,transformed_medlfqa_healthqa,0shot,0.6843849420547485,0.7514237761497498,0.7161686420440674
llama-3_1-70b-instruct-hf,transformed_medlfqa_kqa,0shot,0.6520289778709412,0.7326681613922119,0.6897348165512085
qwen2.5-72b-instruct-hf,transformed_imcs_mrg,5shot,0.6410931944847107,0.7353826761245728,0.6847643852233887
llama-3_1-70b-instruct-hf,transformed_medlfqa_medicationqa,0shot,0.6025485992431641,0.6972619891166687,0.645871639251709
gpt-4o,transformed_medlfqa_healthqa,0shot,0.6757855415344238,0.7575715780258179,0.7140582799911499
yi-1.5-34b-chat-hf,transformed_medlfqa_healthqa,0shot,0.6981559991836548,0.7399842143058777,0.7182151675224304
qwen2.5-72b-instruct-hf,transformed_medlfqa_liveqa,0shot,0.599864661693573,0.6939736008644104,0.6424666047096252
llama-3_1-70b-instruct-hf,transformed_medlfqa_healthqa,5shot,0.6880844235420227,0.7588313817977905,0.7215962409973145
mixtral-large-2-instruct-turbomind,transformed_medlfqa_liveqa,0shot,0.6133023500442505,0.6984604001045227,0.6519047617912292
qwen2.5-72b-instruct-hf,transformed_medlfqa_kqa,5shot,0.652323305606842,0.7508153319358826,0.69788658618927
gpt-4o,transformed_imcs_mrg,5shot,0.650306224822998,0.7358600497245789,0.6901513934135437
llama-3_1-70b-instruct-hf,transformed_medlfqa_medicationqa,5shot,0.6040341258049011,0.7031902074813843,0.649126410484314
gpt-4o,transformed_medlfqa_liveqa,0shot,0.6054646968841553,0.6987248063087463,0.6475803852081299
llama-3_1-70b-instruct-hf,transformed_imcs_mrg,5shot,0.6679480075836182,0.74061119556427,0.7021322846412659
yi-1.5-34b-chat-hf,transformed_medlfqa_liveqa,5shot,0.6323035955429077,0.694048285484314,0.6604939103126526
internlm2_5-20b-hf,transformed_medlfqa_kqa,0shot,0.7062764763832092,0.7185620069503784,0.7119739651679993
yi-1.5-34b-chat-hf,transformed_imcs_mrg,5shot,0.6571397185325623,0.7359929084777832,0.6939778923988342
qwen2.5-72b-instruct-hf,transformed_medlfqa_kqa,0shot,0.6465347409248352,0.744087278842926,0.6916229128837585
gpt-4o,transformed_medlfqa_liveqa,5shot,0.6019459366798401,0.6931628584861755,0.6432377099990845
mixtral-large-2-instruct-turbomind,transformed_imcs_mrg,5shot,0.6446236371994019,0.7345722913742065,0.6863699555397034
llama-3_1-70b-instruct-hf,transformed_medlfqa_kqa,5shot,0.6599627733230591,0.7494959831237793,0.7016386389732361
internlm2_5-20b-hf,transformed_medlfqa_liveqa,0shot,0.64897620677948,0.690034031867981,0.6675711274147034
mixtral-large-2-instruct-turbomind,transformed_medlfqa_kqa,0shot,0.6601502299308777,0.7324163913726807,0.694143533706665
llama-3_1-70b-instruct-hf,transformed_medlfqa_liveqa,5shot,0.6054282188415527,0.6935541033744812,0.6454769968986511
